start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,sets_won,games_won,games_against,tiebreaks_won,tiebreaks_total,serve_rating,aces,double_faults,first_serve_made,first_serve_attempted,first_serve_points_made,first_serve_points_attempted,round_num,nation,match_ID
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,adrian-partl,A. Partl,andrej-martin,A. Martin,kosice_challenger,2nd Round Qualifying,2,0,3,12,0,0,149,0,5,27,44,12,27,1,Slovakia,1
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,adrian-partl,A. Partl,jozef-kovalik,J. Kovalik,kosice_challenger,1st Round Qualifying,3,2,16,12,0,0,249,2,8,49,104,37,49,0,Slovakia,2
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,agustin-velotti,A. Velotti,dominik-hrbaty,D. Hrbaty,kosice_challenger,Round of 32,2,0,7,12,0,0,225,1,1,34,54,16,34,3,Slovakia,3
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,agustin-velotti_marcel-felder,,andrei-daescu_florin-mergea,,kosice_challenger,Round of 16,3,1,18,22,1,1,,,,,,,,4,Slovakia,4
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,alessandro-giannessi,A. Giannessi,harri-heliovaara,H. Heliovaara,kosice_challenger,Round of 32,3,2,17,15,1,1,276,1,7,68,104,47,68,3,Slovakia,5
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,alessandro-giannessi,A. Giannessi,nils-langer,N. Langer,kosice_challenger,Round of 16,2,2,12,4,0,0,278,1,2,34,50,23,34,4,Slovakia,6
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,alessandro-giannessi,A. Giannessi,simon-greul,S. Greul,kosice_challenger,Quarter-Finals,2,0,3,12,0,0,194,0,2,28,48,13,28,5,Slovakia,7
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,alexander-satschko,A. Satschko,norbert-gombos,N. Gombos,kosice_challenger,1st Round Qualifying,2,0,8,12,0,0,229,0,2,35,70,20,35,0,Slovakia,8
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,alexander-satschko_harri-heliovaara,,andrei-vasilevski_uladzimir-ignatik,,kosice_challenger,Quarter-Finals,2,0,8,12,0,0,,,,,,,,5,Slovakia,9
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,alexander-satschko_harri-heliovaara,,arnau-brugues-davi_victor-estrella-burgos,,kosice_challenger,Round of 16,2,2,12,5,0,0,,,,,,,,4,Slovakia,10
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,aljaz-bedene,A. Bedene,arnau-brugues-davi,A. Brugues-Davi,kosice_challenger,Quarter-Finals,3,2,17,13,0,0,256,13,4,43,91,35,43,5,Slovakia,11
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,aljaz-bedene,A. Bedene,ivo-minar,I. Minar,kosice_challenger,Round of 16,2,2,12,6,0,0,314,7,1,31,49,26,31,4,Slovakia,12
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,aljaz-bedene,A. Bedene,jan-hajek,J. Hajek,kosice_challenger,Semi-Finals,3,2,16,12,0,0,274,11,4,50,83,37,50,6,Slovakia,13
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,aljaz-bedene,A. Bedene,pavol-cervenak,P. Cervenak,kosice_challenger,Round of 32,2,2,13,8,1,1,304,7,2,33,55,25,33,3,Slovakia,14
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,aljaz-bedene,A. Bedene,simon-greul,S. Greul,kosice_challenger,Finals,2,2,13,8,1,1,277,6,2,42,63,29,42,7,Slovakia,15
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,aljaz-bedene_andrej-martin,,mateusz-kowalczyk_tomasz-bednarek,,kosice_challenger,Quarter-Finals,2,0,11,14,0,1,,,,,,,,5,Slovakia,16
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,aljaz-bedene_andrej-martin,,pavol-cervenak_peter-polansky,,kosice_challenger,Round of 16,3,2,22,18,0,1,,,,,,,,4,Slovakia,17
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andreas-haider-maurer,A. Haider-Maurer,victor-crivoi,V. Crivoi,kosice_challenger,Round of 32,2,0,6,12,0,0,211,6,3,32,56,20,32,3,Slovakia,18
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrei-daescu_florin-mergea,,agustin-velotti_marcel-felder,,kosice_challenger,Round of 16,3,2,22,18,0,1,,,,,,,,4,Slovakia,19
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrei-daescu_florin-mergea,,nicholas-monroe_simon-stadler,,kosice_challenger,Quarter-Finals,2,0,4,12,0,0,,,,,,,,5,Slovakia,20
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrei-vasilevski,A. Vasilevski,marcin-gawron,M. Gawron,kosice_challenger,2nd Round Qualifying,2,0,8,12,0,0,217,1,4,49,69,29,49,1,Slovakia,21
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrei-vasilevski,A. Vasilevski,peter-mick,P. Mick,kosice_challenger,1st Round Qualifying,2,2,12,6,0,0,315,4,5,27,46,24,27,0,Slovakia,22
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrei-vasilevski_uladzimir-ignatik,,alexander-satschko_harri-heliovaara,,kosice_challenger,Quarter-Finals,2,2,12,8,0,0,,,,,,,,5,Slovakia,23
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrei-vasilevski_uladzimir-ignatik,,dominik-sproch_juraj-simcak,,kosice_challenger,Semi-Finals,2,2,12,2,0,0,,,,,,,,6,Slovakia,24
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrei-vasilevski_uladzimir-ignatik,,jozef-kovalik_norbert-gombos,,kosice_challenger,Round of 16,2,2,13,9,0,0,,,,,,,,4,Slovakia,25
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrei-vasilevski_uladzimir-ignatik,,mateusz-kowalczyk_tomasz-bednarek,,kosice_challenger,Finals,3,1,21,25,0,0,,,,,,,,7,Slovakia,26
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrej-martin,A. Martin,adrian-partl,A. Partl,kosice_challenger,2nd Round Qualifying,2,2,12,3,0,0,268,0,1,30,44,22,30,1,Slovakia,27
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrej-martin,A. Martin,jan-hajek,J. Hajek,kosice_challenger,Round of 16,2,0,4,12,0,0,182,0,5,33,48,16,33,4,Slovakia,28
2/14/2011,2/19/2011,CHI,Clay,,,2011,andres-alejandro-gevert,,santiago-comba,,copa-milo---chile-deportes-2011_itf_juniors0,1st Round Qualifying,3,1,11,13,0,0,,,,,,,,-1,CHI,29
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrej-martin,A. Martin,laurent-rochette,L. Rochette,kosice_challenger,3rd Round Qualifying,2,2,12,4,0,0,269,1,3,37,53,26,37,2,Slovakia,30
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrej-martin,A. Martin,marcel-felder,M. Felder,kosice_challenger,Round of 32,2,2,12,7,0,0,275,0,2,34,52,26,34,3,Slovakia,31
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,andrej-martin,A. Martin,marton-fucsovics,M. Fucsovics,kosice_challenger,1st Round Qualifying,2,2,12,6,0,0,306,1,3,49,66,31,49,0,Slovakia,32
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,arnau-brugues-davi,A. Brugues-Davi,aljaz-bedene,A. Bedene,kosice_challenger,Quarter-Finals,3,1,13,17,0,0,232,3,4,62,94,39,62,5,Slovakia,33
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,arnau-brugues-davi,A. Brugues-Davi,dusan-lojda,D. Lojda,kosice_challenger,Round of 16,2,2,13,7,0,0,315,6,0,39,58,31,39,4,Slovakia,34
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,arnau-brugues-davi,A. Brugues-Davi,peter-polansky,P. Polansky,kosice_challenger,Round of 32,2,2,12,6,0,0,280,4,0,35,58,25,35,3,Slovakia,35
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,arnau-brugues-davi_victor-estrella-burgos,,alexander-satschko_harri-heliovaara,,kosice_challenger,Round of 16,2,0,5,12,0,0,,,,,,,,4,Slovakia,36
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,axel-michon,A. Michon,filip-vittek,F. Vittek,kosice_challenger,1st Round Qualifying,2,2,12,6,0,0,283,1,3,34,56,23,34,0,Slovakia,37
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,axel-michon,A. Michon,nicholas-monroe,N. Monroe,kosice_challenger,2nd Round Qualifying,3,2,18,12,0,1,222,4,9,66,107,41,66,1,Slovakia,38
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,axel-michon,A. Michon,nils-langer,N. Langer,kosice_challenger,3rd Round Qualifying,2,0,8,12,0,0,243,1,4,37,60,23,37,2,Slovakia,39
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,damir-dzumhur,D. Dzumhur,jiri-vesely,J. Vesely,kosice_challenger,Round of 16,3,2,17,12,1,1,257,0,5,55,108,40,55,4,Slovakia,40
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,damir-dzumhur,D. Dzumhur,marcin-gawron,M. Gawron,kosice_challenger,Round of 32,3,2,13,9,0,0,263,2,2,50,72,34,50,3,Slovakia,41
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,damir-dzumhur,D. Dzumhur,miloslav-mecir,M. Mecir,kosice_challenger,Quarter-Finals,3,2,17,16,1,1,246,6,3,59,105,42,59,5,Slovakia,42
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,damir-dzumhur,D. Dzumhur,simon-greul,S. Greul,kosice_challenger,Semi-Finals,2,0,6,12,0,0,228,0,3,30,51,15,30,6,Slovakia,43
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,dario-maturi,D. Maturi,marcin-gawron,M. Gawron,kosice_challenger,1st Round Qualifying,2,0,0,12,0,0,114,0,3,22,35,5,22,0,Slovakia,44
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,dominik-hrbaty,D. Hrbaty,agustin-velotti,A. Velotti,kosice_challenger,Round of 32,2,2,12,7,0,0,256,6,8,40,72,25,40,3,Slovakia,45
6/11/2012,6/17/2012,Slovakia,Clay,30000,€,2012,dominik-hrbaty,D. Hrbaty,victor-crivoi,V. Crivoi,kosice_challenger,Round of 16,2,0,7,12,0,0,227,3,5,33,60,21,33,4,Slovakia,46
