year	tournament	start_date	end_date	location	court_surface	prize_money	currency	masters	tournament_id
2012	kosice_challenger	6/11/2012	6/17/2012	Slovakia	Clay	30000	€	100	1
2011	copa-milo---chile-deportes-2011_itf_juniors0	2/14/2011	2/19/2011	CHI	Clay			0	2
2011	copa-milo---chile-deportes-2011_itf_juniors1	2/14/2011	2/19/2011	CHI	Clay			0	3
2017	1st-tajikistan-tennis-federation-cup_itf_juniors1	5/16/2017	5/21/2017	TJK	Hard			0	4
2011	jalisco-junior-cup-2011_itf_juniors0	2/14/2011	2/19/2011	MEX	Clay			0	5
2011	jalisco-junior-cup-2011_itf_juniors1	2/14/2011	2/19/2011	MEX	Clay			0	6
2005	prague_challenger	11/21/2005	11/27/2005	Czechia	Carpet	25000	$	100	7
2011	3rd-kenya-international-junior-championship_itf_juniors0	2/14/2011	2/19/2011	KEN	Clay			0	8
2017	itf-junior-circuit-mozambique-leg-1_itf_juniors0	5/22/2017	5/26/2017	MOZ	Hard			0	9
2011	3rd-kenya-international-junior-championship_itf_juniors1	2/14/2011	2/19/2011	KEN	Clay			0	10
2002	togliatti_challenger	7/15/2002	7/21/2002	Russian Federation	Hard	25000	$	100	11
2011	itf-4-indoor-almere-2011_itf_juniors0	2/15/2011	2/19/2011	NED	Hard			0	12
2017	itf-junior-circuit-mozambique-leg-1_itf_juniors1	5/22/2017	5/26/2017	MOZ	Hard			0	13
2011	itf-4-indoor-almere-2011_itf_juniors1	2/15/2011	2/19/2011	NED	Hard			0	14
1997	france-1-masters_itf_procircuit2	1/4/1997	2/2/1997	FRA	Clay			25	15
2011	trofeul-d-sturdza_itf_juniors0	2/15/2011	2/20/2011	MDA	Carpet			0	16
2012	5th-malacca-itf-international-tennis-championships-2012_itf_juniors0	2/27/2012	3/2/2012	MAS	Hard			0	17
2011	trofeul-d-sturdza_itf_juniors1	2/15/2011	2/20/2011	MDA	Carpet			0	18
2003	togliatti_challenger	7/14/2003	7/20/2003	Russian Federation	Hard	25000	$	100	19
2011	el-salvador-junior-open_itf_juniors0	2/21/2011	2/26/2011	ESA	Hard			0	20
2017	itf-tbilisi-cup-2017_itf_juniors0	5/22/2017	5/27/2017	GEO	Hard			0	21
2011	el-salvador-junior-open_itf_juniors1	2/21/2011	2/26/2011	ESA	Hard			0	22
2012	5th-malacca-itf-international-tennis-championships-2012_itf_juniors1	2/27/2012	3/2/2012	MAS	Hard			0	23
2011	argentina-cup_itf_juniors0	2/21/2011	2/26/2011	ARG	Clay			0	24
2011	argentina-cup_itf_juniors1	2/21/2011	2/26/2011	ARG	Clay			0	25
2003	mordovia_challenger	8/4/2003	8/10/2003	Russian Federation	Clay	25000	$	100	26
2011	aivaras-balzekas-memorial-cup-2011_itf_juniors0	2/22/2011	2/26/2011	LTU	Carpet			0	27
2013	wichita-falls_itf_juniors0	9/30/2013	10/5/2013	USA	Hard			0	28
1997	france-1-masters_itf_procircuit3	1/4/1997	2/2/1997	FRA	Clay			25	29
2013	wichita-falls_itf_juniors1	9/30/2013	10/5/2013	USA	Hard			0	30
2013	27º-arthrom-tennis-cup_itf_juniors0	9/30/2013	10/5/2013	BRA	Clay			0	31
2013	27º-arthrom-tennis-cup_itf_juniors1	9/30/2013	10/5/2013	BRA	Clay			0	32
1972	caracas	3/17/1972		Venezuela (Bolivarian Republic of)	Hard				33
2013	riad-21_itf_juniors0	9/30/2013	10/5/2013	MAR	Clay			0	34
2017	itf-tbilisi-cup-2017_itf_juniors1	5/22/2017	5/27/2017	GEO	Hard			0	35
2013	kaohsiung_challenger	9/16/2013	9/22/2013	"Taiwan, Province of China"	Hard	125000	$	100	36
2013	riad-21_itf_juniors1	9/30/2013	10/5/2013	MAR	Clay			0	37
1997	france-1-masters_itf_procircuit0	1/4/1997	2/2/1997	FRA	Clay			25	38
2015	kaohsiung_challenger	9/21/2015	9/27/2015	"Taiwan, Province of China"	Hard	125000	$	100	39
2015	16th-iran-junior-tournaments_itf_juniors1	9/28/2015	10/3/2015	IRI	Clay			0	40
2017	bishkek-open---1_itf_juniors0	5/22/2017	5/27/2017	KGZ	Clay			0	41
2006	surbiton_challenger	6/5/2006	6/11/2006	United Kingdom of Great Britain and Northern Ireland	Grass	50000	$	100	42
2015	londrina-juniors-cup_itf_juniors0	9/28/2015	10/3/2015	BRA	Clay			0	43
1997	france-1-masters_itf_procircuit1	1/4/1997	2/2/1997	FRA	Clay			25	44
2017	bishkek-open---1_itf_juniors1	5/22/2017	5/27/2017	KGZ	Clay			0	45
2015	londrina-juniors-cup_itf_juniors1	9/28/2015	10/3/2015	BRA	Clay			0	46
2007	surbiton_challenger	6/4/2007	6/10/2007	United Kingdom of Great Britain and Northern Ireland	Grass	50000	$	100	47
2015	2015-yanggu-international-tennis-championships_itf_juniors0	9/28/2015	10/4/2015	KOR	Hard			0	48
2017	chuquiago-junior-open-2017_itf_juniors0	5/22/2017	5/27/2017	BOL	Clay			0	49
2004	ukraine-f1-futures_itf_procircuit0	6/21/2004	6/27/2004	UKR	Clay			25	50
