name	code	region	sub_region	intermediate_region	Country_ID
Afghanistan	AFG	Asia	Southern Asia		1
Åland Islands	ALA	Europe	Northern Europe		2
Albania	ALB	Europe	Southern Europe		3
Algeria	DZA	Africa	Northern Africa		4
American Samoa	ASM	Oceania	Polynesia		5
Andorra	AND	Europe	Southern Europe		6
Angola	AGO	Africa	Sub-Saharan Africa	Middle Africa	7
Anguilla	AIA	Americas	Latin America and the Caribbean	Caribbean	8
Antarctica	ATA				9
Antigua and Barbuda	ATG	Americas	Latin America and the Caribbean	Caribbean	10
Argentina	ARG	Americas	Latin America and the Caribbean	South America	11
Armenia	ARM	Asia	Western Asia		12
Aruba	ABW	Americas	Latin America and the Caribbean	Caribbean	13
Australia	AUS	Oceania	Australia and New Zealand		14
Austria	AUT	Europe	Western Europe		15
Azerbaijan	AZE	Asia	Western Asia		16
Bahamas	BHS	Americas	Latin America and the Caribbean	Caribbean	17
Bahrain	BHR	Asia	Western Asia		18
Bangladesh	BGD	Asia	Southern Asia		19
Barbados	BRB	Americas	Latin America and the Caribbean	Caribbean	20
Belarus	BLR	Europe	Eastern Europe		21
Belgium	BEL	Europe	Western Europe		22
Belize	BLZ	Americas	Latin America and the Caribbean	Central America	23
Benin	BEN	Africa	Sub-Saharan Africa	Western Africa	24
Bermuda	BMU	Americas	Northern America		25
Bhutan	BTN	Asia	Southern Asia		26
Bolivia (Plurinational State of)	BOL	Americas	Latin America and the Caribbean	South America	27
"Bonaire, Sint Eustatius and Saba"	BES	Americas	Latin America and the Caribbean	Caribbean	28
Bosnia and Herzegovina	BIH	Europe	Southern Europe		29
Botswana	BWA	Africa	Sub-Saharan Africa	Southern Africa	30
Bouvet Island	BVT	Americas	Latin America and the Caribbean	South America	31
Brazil	BRA	Americas	Latin America and the Caribbean	South America	32
British Indian Ocean Territory	IOT	Africa	Sub-Saharan Africa	Eastern Africa	33
Brunei Darussalam	BRN	Asia	South-eastern Asia		34
Bulgaria	BGR	Europe	Eastern Europe		35
Burkina Faso	BFA	Africa	Sub-Saharan Africa	Western Africa	36
Burundi	BDI	Africa	Sub-Saharan Africa	Eastern Africa	37
Cabo Verde	CPV	Africa	Sub-Saharan Africa	Western Africa	38
Cambodia	KHM	Asia	South-eastern Asia		39
Cameroon	CMR	Africa	Sub-Saharan Africa	Middle Africa	40
Canada	CAN	Americas	Northern America		41
Cayman Islands	CYM	Americas	Latin America and the Caribbean	Caribbean	42
Central African Republic	CAF	Africa	Sub-Saharan Africa	Middle Africa	43
Chad	TCD	Africa	Sub-Saharan Africa	Middle Africa	44
Chile	CHL	Americas	Latin America and the Caribbean	South America	45
China	CHN	Asia	Eastern Asia		46
Christmas Island	CXR	Oceania	Australia and New Zealand		47
Cocos (Keeling) Islands	CCK	Oceania	Australia and New Zealand		48
Colombia	COL	Americas	Latin America and the Caribbean	South America	49
Comoros	COM	Africa	Sub-Saharan Africa	Eastern Africa	50
